"Date";"temp";"hum";"viento";"pres"
2020-05-16;17,9;73,9;0,11;1009,4
2020-05-17;17,8;75,6;0,15;1009,6
2020-05-18;16,8;75,5;0,12;1011,7
2020-05-19;17,1;73,1;0,09;1011,9
2020-05-20;17;74,7;0,02;1012
2020-05-21;17,1;72;0,03;1012,7
2020-05-22;16,7;75,2;0,27;1011,9
2020-05-23;16,9;75,7;0,23;1011,5
2020-05-24;17,4;73,3;0,54;1010,4
2020-05-25;17,5;72,9;0,18;1008,9
2020-05-26;17,9;73,2;0,12;1008,9
2020-05-27;18,3;75,2;0;1009,9
2020-05-28;19,2;74,2;0,03;1011,4
2020-05-29;20;69,7;0,08;1012,3
2020-05-30;18,8;77,9;0,18;1012,2
2020-05-31;18,7;79,9;0,47;1013
2020-06-01;18,1;84;0,6;1014,3
2020-06-02;17,5;83;0,53;1013,2
2020-06-03;17,8;70,8;0,52;1013,5
2020-06-04;17,4;67,8;0,72;1013,6
2020-06-05;15,6;79,6;0,4;1011
2020-06-06;16,6;79;0,33;1012
2020-06-07;17,3;77,3;0,02;1013,2
2020-06-08;17;77,5;0,11;1011,7
2020-06-09;17,6;75,5;0;1011,1
2020-06-10;17,9;76;0,02;1011,4
2020-06-11;17,7;82,8;0,27;1013,6
2020-06-12;16,5;80,5;0,38;1013,7
2020-06-13;17,2;77,5;0,63;1010,3
2020-06-14;16,9;77,3;0,2;1009,8
2020-06-15;17,1;77,5;0,21;1012,5
